"Carrier","Year","(Intercept)","ElaspedTime"
"AA",1987,3.45397462681084,2.45144931670671
"AA",1988,0.0219281776850365,2.48109979880303
"AA",1989,-3.92076888925127,2.50475645928108
"AA",1990,3.5324300745973,2.46809169878948
"AA",1991,3.32145587874988,2.47258632781681
"AA",1992,2.10568165422921,2.46722874751259
"AA",1993,0.436719618002576,2.48355704774694
"AA",1994,2.34242371106007,2.46522229492292
"AA",1995,-1.49043700834324,2.56818067896985
"AA",1996,-0.748121236612556,2.56790565017798
"AA",1997,2.09782361040495,2.54916416062436
"AA",1998,-2.79469074853842,2.57700913743229
"AA",1999,-0.356090423003155,2.64481037808217
"AA",2000,-1.14427874274098,2.72765705186921
"AA",2001,-15.5249328133251,2.87519159478569
"AA",2002,1.85270039053025,2.39055482720648
"AA",2003,19.1501056588435,2.41160455274236
"AA",2004,-21.0344923805321,2.65676598296416
"AA",2005,1.51275269875105,2.62932868910341
"AA",2006,3.37485436427314,2.69842755417432
"AA",2007,9.88359683440239,2.77494666726184
"AA",2008,0.121731461224995,2.87004610270998
"AA",2009,2.88512122123876,2.55068580617186
"AA",2010,-0.187614713157487,2.65543310024516
"AA",2011,7.42574344711513,2.70041348949951
"AA",2012,4.92066857197017,2.77803611309761
"AA",2013,9.5340667431204,2.83595064309776
"AA",2014,3.37176163667142,2.93527345982491
"AA",2015,-3.2361104052858,3.05647110146548
"AL",1987,-2.68332696751293,2.50094073654439
"AL",1988,-0.649781995077976,2.48254824087922
"AS",1987,14.8277325978887,0.642643987313868
"AS",1988,17.9574234673729,0.60553623693529
"AS",1989,10.6659602865468,0.694156754236354
"AS",1990,12.7215736970595,0.691627219557199
"AS",1991,10.5919676983714,0.702616209784029
"AS",1992,10.945536991307,0.696000858718577
"AS",1993,9.68451085346811,0.707342741111636
"AS",1994,11.2675347737545,0.683458330407074
"AS",1995,8.09429804636521,0.764418491292425
"AS",1996,9.0731408113954,0.757865229852338
"AS",1997,5.21164741610901,0.797103716692573
"AS",1998,5.85883819024046,0.793195842916714
"AS",1999,9.17989586717568,0.809373460183618
"AS",2000,5.28284544103881,0.914594496800034
"AS",2001,2.10815420830448,1.01470266387024
"AS",2002,17.3392912466242,0.594568532313183
"AS",2003,12.0524388575372,0.67575857450191
"AS",2004,6.85684932001212,0.775413248725008
"AS",2005,5.63136836983159,0.845652223585549
"AS",2006,3.95057409297525,0.928449036494633
"AS",2007,2.94329357163441,1.00458951383413
"AS",2008,4.18516167660127,1.06360281026913
"AS",2009,8.9305145337233,0.762651084520196
"AS",2010,6.9681552797784,0.833098607888382
"AS",2011,5.45383390802469,0.915065099265334
"AS",2012,2.80866560625994,1.00595130288297
"AS",2013,2.0444044877645,1.08535263064387
"AS",2014,-3.3600983559447,1.19944553514281
"AS",2015,4.53693022387981,1.2201114758977
"B6",2003,-11.0937258759454,2.54394594305402
"B6",2004,54.4780477500111,2.32642805754417
"B6",2005,-1.91649068684922,2.6489152129169
"B6",2006,2.37698921279384,2.7015885060729
"B6",2007,-1.46893160904473,2.80656525289377
"B6",2008,3.70319393512969,2.85931098548403
"B6",2009,2.95240756674475,2.54264013004852
"B6",2010,-3.29369409435135,2.66172617846885
"B6",2011,-1.16051782697582,2.72468418613619
"B6",2012,1.3557796397629,2.79227524618343
"B6",2013,-0.601678143388549,2.88429119190559
"B6",2014,-1.75406001405525,2.97082001501544
"B6",2015,0.827297803805525,3.03032712894877
"CO",1987,3.27655248486205,1.57028227334401
"CO",1988,-17.6550724589805,1.69580801117469
"CO",1989,4.21103527684725,1.54748428704639
"CO",1990,-12.3847176721873,1.6511949200884
"CO",1991,-0.661594774868886,1.58963153432219
"CO",1992,-3.47487890324584,1.605770371989
"CO",1993,-0.335171091104439,1.58268338474477
"CO",1994,-1.69351998745662,1.592948948712
"CO",1995,0.445863959414983,1.65478111606878
"CO",1996,-21.2252511198165,1.77217449922957
"CO",1997,0.546232673015218,1.65820448955511
"CO",1998,3.87067931859878,1.63734428521067
"CO",1999,0.574200194209165,1.7417912898826
"CO",2000,-3.62582830717726,1.8474213684283
"CO",2001,20.2006545149455,1.8079477608929
"CO",2002,-3.00296407943207,1.51285587486094
"CO",2003,2.21549494174091,1.56440243471908
"CO",2004,2.17715690470194,1.64823809364656
"CO",2005,-7.873828093133,1.78644839124854
"CO",2006,3.39699250176555,1.79838875527753
"CO",2007,-4.40968582268238,1.92711919075569
"CO",2008,0.532626782014098,1.97500913930485
"CO",2009,-0.192189897229638,1.66407183826079
"CO",2010,0.619720696545306,1.73801886488001
"CO",2011,-0.746382200490056,1.82530946788904
"DL",1987,1.57492190231759,3.37189513145351
"DL",1988,12.1244041099015,3.33302359079949
"DL",1989,10.8565230824546,3.32964092373433
"DL",1990,12.7253294827166,3.31907068874163
"DL",1991,-0.0976243091524066,3.38911506090186
"DL",1992,13.7013076693919,3.31414412790659
"DL",1993,1.58396369409996,3.3718881096248
"DL",1994,-1.66784114064848,3.38942377879404
"DL",1995,15.1945635767023,3.36829400529798
"DL",1996,-2.00942288339507,3.47449885275661
"DL",1997,-2.35210442764579,3.4731728208365
"DL",1998,-0.873502045878178,3.46333485274371
"DL",1999,6.22308598148856,3.5158398522613
"DL",2000,-0.393502385971206,3.62364888494159
"DL",2001,3.09465954140552,3.68232846284088
"DL",2002,-1.82192489164401,3.31254054743336
"DL",2003,-0.00930309934861277,3.37897788206321
"DL",2004,-0.18474097688321,3.45953227598913
"DL",2005,-0.968416821040761,3.54514346545622
"DL",2006,-2.77113914900436,3.63492087684167
